Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Centenário do Sul;Paraná;91;8732456,5;314675,8;60;3,835970881;0;1;4105102;41;;;
Cerrito;Rio Grande do Sul;5;361590;10946;0;0;0;3;4305124;43;;;
Cerro Azul;Paraná;3;535800;18010,9;0;0;0;3;4105201;41;;;
Cerro Grande;Rio Grande do Sul;1;217369,2;5803,8;0;0;0;3;4305157;43;;;
Cerro Largo;Rio Grande do Sul;1;57246;4379,3;0;0;0;3;4305207;43;;;
Chapada;Rio Grande do Sul;18;1224014;53266,2;3;0,14984348;0;3;4305306;43;;;
Chapadão do Lageado;Santa Catarina;6;380000,4;15579,5;0;0;0;3;4204194;42;;;
Chapecó;Santa Catarina;7;1000229;46454,9;0;0;0;3;4204202;42;;;
Charqueadas;Rio Grande do Sul;7;1578463,8;40140,8;0;0;0;3;4305355;43;;;
Charrua;Rio Grande do Sul;6;284117,6;12321,3;0;0;0;3;4305371;43;;;
Chiapetta;Rio Grande do Sul;24;3956713;158614,4;11;0,877795882;0;3;4305405;43;;;
Chopinzinho;Paraná;43;5716296;144209,3;1;0,40251485;0;1;4105409;41;;;
Cianorte;Paraná;78;10804147,2;330951,7;39;3,57766124;3;1;4105508;41;;;
Ciríaco;Rio Grande do Sul;19;2579814,4;88789;0;0;0;3;4305504;43;;;
Clevelândia;Paraná;20;5085049;151607,4;2;0,339021188;0;3;4105706;41;;;
Colorado;Paraná;73;7652549,9;283899;28;2,111928004;0;1;4105904;41;;;
Colônia Cachoeira;-;2;50000;1777,5;0;0;0;3;0;-;;;
Colônia Centenário;-;1;17422,6;1193,3;0;0;0;3;0;-;;;
Colônia Jordãozinho;-;2;487500;17330,6;1;0,076689387;0;3;0;-;;;
Colônia Melissa;-;1;109632,4;2713,4;0;0;0;3;0;-;;;
Colônia Socorro;-;2;136000;4420,1;0;0;0;3;0;-;;;
Colônia Vitória;-;2;405000;13764,2;0;0;0;3;0;-;;;
Colônia Z-3;-;1;620712;31904,6;0;0;0;3;0;-;;;
Concórdia;Santa Catarina;1;60000;1393,2;1;0,032299742;0;3;4204301;42;;;
Concórdia do Oeste;-;5;119236,7;7316,1;0;0;0;3;0;-;;;
Condor;Rio Grande do Sul;38;11722508,2;445061,1;3;0,169484811;3;1;4305702;43;;;
Congonhinhas;Paraná;82;9951142,5;423284,1;63;3,164438956;3;1;4106001;41;;;
Conselheiro Mairinck;Paraná;15;4600552,8;108163,8;10;2,603235917;0;3;4106100;41;;;
Constantina;Rio Grande do Sul;7;421268;15569,7;1;1,412791327;0;3;4305801;43;;;
Contenda;Paraná;9;793366,9;19322,1;0;0;0;3;4106209;41;;;
Coqueiros do Sul;Rio Grande do Sul;49;6003835,3;199605,5;4;0,048149431;0;1;4305850;43;;;
Corbélia;Paraná;159;17121269,9;655337,3;23;0,362805505;3;4;4106308;41;;;
Cordilheira;-;1;2275000;24285,6;0;0;0;3;0;-;;;
Cornélio Procópio;Paraná;196;23512935,5;978941,2;100;1,375242222;3;4;4106407;41;;;
Coronel Barros;Rio Grande do Sul;1;63108,5;1694,5;0;0;0;3;4305871;43;;;
Coronel Bicaco;Rio Grande do Sul;39;7628724;265448,4;13;0,578719542;0;1;4305900;43;;;
Coronel Domingos Soares;Paraná;34;14305268,9;330230,4;0;0;3;1;4106456;41;;;
Coronel Freitas;Santa Catarina;2;263146,8;9396,1;0;0;0;3;4204400;42;;;
Coronel Martins;Santa Catarina;9;699326,8;20804,7;0;0;0;3;4204459;42;;;
Coronel Pilar;Rio Grande do Sul;62;5390218,5;142005,4;2;0,07622346;0;3;4305934;43;;;
Coronel Vivida;Paraná;60;7273784;188527,9;10;1,066425618;0;1;4106506;41;;;
Correia Pinto;Santa Catarina;4;2492450;118143,4;2;1,665713799;0;3;4204558;42;;;
Correia de Freitas;-;1;14937,6;947,4;0;0;0;3;0;-;;;
Corumbataí do Sul;Paraná;22;2695469;80371,1;7;1,339698657;0;3;4106555;41;;;
Cotiporã;Rio Grande do Sul;222;18677995,4;483283,3;58;0,709452663;3;4;4305959;43;;;
Coxilha;Rio Grande do Sul;43;8186714,6;220401,9;0;0;0;1;4305975;43;;;
Criciúma;Santa Catarina;3;509795;5292;0;0;0;3;4204608;42;;;
Crissiumal;Rio Grande do Sul;2;289850;10304,1;1;3,231709181;0;3;4306007;43;;;
Cristal;Rio Grande do Sul;6;3472726,6;72339,2;0;0;0;3;4306056;43;;;
Criúva;-;73;5983819;224526,1;63;5,229107263;0;1;0;-;;;
Cruz Alta;Rio Grande do Sul;169;46675516,7;1569998,7;27;0,17887543;1;0;4306106;43;;;
Cruz Machado;Paraná;2;108233,2;3418,1;0;0;0;3;4106803;41;;;
Cruzaltense;Rio Grande do Sul;1;66881,2;5417,4;1;1,538459622;0;3;4306130;43;;;
Cruzeiro do Iguaçu;Paraná;4;839138,4;47902,9;1;0,17366786;0;3;4106571;41;;;
Cruzeiro do Oeste;Paraná;19;4405453,5;112923;8;1,1623491;0;3;4106605;41;;;
Cruzeiro do Sul;Paraná;51;7807382,6;254311,1;29;2,075570151;0;1;4106704;41;;;
Cruzmaltina;Paraná;63;7046446,2;274115,8;18;1,50019534;0;1;4106852;41;;;
Cunha Porã;Santa Catarina;2;299695,8;10701,1;0;0;0;3;4204707;42;;;
Curitibanos;Santa Catarina;28;2749010;30587,8;0;0;0;3;4204806;42;;;
Curiúva;Paraná;59;12418251,4;114668,2;7;0,235250545;3;1;4107009;41;;;
Cândido Godói;Rio Grande do Sul;1;10231,9;523,8;0;0;0;3;4304309;43;;;
Cândido de Abreu;Paraná;67;10300062,3;317279,8;33;2,40060475;3;1;4104402;41;;;
Céu Azul;Paraná;105;11872150,3;482865,6;21;0,440313471;3;1;4105300;41;;;
David Canabarro;Rio Grande do Sul;1;27750;678,1;0;0;0;3;4306304;43;;;
Derrubadas;Rio Grande do Sul;3;397046,6;14172,4;1;2,984505083;0;3;4306320;43;;;
Descanso;Santa Catarina;1;12000;614;0;0;0;3;4204905;42;;;
Dez de Maio;-;3;161135,5;5260;3;2,667435511;0;3;0;-;;;
Diamante d'Oeste;Paraná;23;2311994;99550,3;8;1,0167806;0;3;4107157;41;;;
Diamante do Norte;Paraná;1;88515,8;5281,7;1;4,003552806;0;3;4107108;41;;;
Diamante do Sul;Paraná;4;156303,1;8527,6;0;0;0;3;4107124;41;;;
Dilermando de Aguiar;Rio Grande do Sul;21;3880006,4;104161,2;2;2,077971148;0;3;4306379;43;;;
Dionísio Cerqueira;Santa Catarina;4;418247,6;25274,8;2;1,081042331;0;3;4205001;42;;;
Dois Irmãos;Rio Grande do Sul;3;181563,9;8640,5;1;0,174475288;0;3;4306403;43;;;
