ano;especie;mun;n_macho_bov;n_macho_bub;n_fem_bov;n_fem_bub;doenca;teste;BRU Nº REAGENTES;BRU Nº POS´S
2015;BOV;Caldas;4;NA;13;NA;TUB;TCC;NA;NA
2015;BOV;Machado;12;NA;64;NA;BRU;AAT e 2ME;1;NA
2015;BOV;Machado;12;NA;64;NA;BRU;AAT;1;NA
2015;BOV;Machado;12;NA;64;NA;BRU;AAT;1;NA
2015;BOV;Caldas;15;NA;76;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;13;NA;31;NA;BRU;AAT;1;NA
2015;BOV;Santa Rita de Caldas;21;NA;21;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;11;NA;14;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;9;NA;19;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;49;NA;78;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;2;NA;79;NA;BRU;AAT/2ME;NA;1
2015;BOV;Caldas;6;NA;20;NA;BRU;AAT;1;NA
2015;BOV;Caldas;2;NA;44;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;4;NA;22;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;0;NA;118;NA;TUB;TCC;NA;NA
2015;BOV;Baependi;5;NA;34;NA;TUB;TCC;NA;NA
2015;BOV;Turvolândia;3;NA;653;NA;TUB;TCC;NA;NA
2015;BOV;Cruzília;NA;NA;NA;NA;TUB;TCS;NA;NA
2015;BOV;Itamonte;22;NA;32;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;29;NA;255;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;14;NA;213;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;10;NA;98;NA;TUB;TCC;NA;NA
2015;BOV;Buritis;1;NA;235;NA;BRU e TUB;"AAT e 2ME; TCC";NA;1
2015;BOV;Unaí;20;NA;69;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;14;NA;60;NA;TUB;TCC;NA;NA
2015;BOV;Paracatu;2;NA;112;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;14;NA;26;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;11;NA;63;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Unaí;28;NA;107;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;6;NA;26;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;30;NA;336;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;8;NA;34;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;210;NA;420;NA;TUB;TCC;NA;NA
